transaction_id,customer_id,product_id,product_category,amount,transaction_date,channel,status,is_first_product
T000001,C01502,P006,Insurance,11447.72,2022-09-28,Mobile App,Completed,True
T000000,C01502,P008,Investment,7599.26,2023-07-20,Mobile App,Completed,True
T000003,C00709,P002,Banking,9407.69,2023-07-26,Branch,Completed,True
T000002,C00709,P010,Investment,6127.2,2024-02-26,Online,Completed,True
T000004,C01050,P010,Banking,5560.42,2025-02-09,Mobile App,Cancelled,False
T000005,C01050,P002,Banking,3265.16,2025-08-25,Mobile App,Completed,True
T000007,C01050,P009,Credit,1172.37,2025-09-02,Mobile App,Completed,True
T000009,C01050,P008,Banking,3019.73,2025-12-31,Mobile App,Cancelled,True
T000008,C01050,P006,Insurance,4579.0,2023-02-01,Mobile App,Completed,True
T000006,C01050,P009,Credit,283.19,2025-12-31,Online,Completed,True
T000010,C00178,P010,Investment,5848.63,2022-09-30,Mobile App,Completed,True
T000013,C00178,P005,Investment,7094.89,2023-08-02,Mobile App,Completed,True
T000014,C00178,P002,Banking,2832.61,2023-05-20,Mobile App,Completed,True
T000011,C00178,P002,Investment,7943.85,2023-03-24,Phone,Completed,True
T000012,C00178,P002,Banking,25817.17,2023-11-18,Online,Completed,True
T000015,C01313,P009,Banking,12510.32,2022-01-01,Mobile App,Completed,True
T000019,C01313,P001,Banking,6400.3,2023-02-05,Mobile App,Completed,True
T000018,C01313,P001,Banking,2755.21,2022-11-14,Phone,Completed,True
T000017,C01313,P001,Banking,11453.05,2022-01-01,Mobile App,Completed,True
T000020,C01313,P001,Banking,5200.8,2024-01-19,Phone,Completed,True
T000016,C01313,P001,Banking,2639.34,2022-06-24,Phone,Completed,True
T000027,C01750,P002,Insurance,10257.28,2023-05-09,Online,Completed,True
T000021,C01750,P010,Credit,10941.32,2024-07-20,Online,Completed,True
T000025,C01750,P008,Insurance,2799.86,2024-08-16,Online,Completed,True
T000024,C01750,P010,Investment,903.25,2023-02-02,Branch,Completed,True
T000022,C01750,P008,Insurance,14988.25,2023-11-20,Mobile App,Completed,True
T000023,C01750,P008,Insurance,0.01,2024-07-15,Online,Completed,True
T000026,C01750,P008,Credit,9937.04,2023-10-01,Online,Completed,True
T000028,C01859,P006,Credit,5119.12,2023-09-25,Online,Cancelled,True
T000031,C01859,P001,Banking,0.01,2023-09-11,Branch,Completed,False
T000029,C01859,P015,Banking,0.01,2022-09-12,Online,Completed,False
T000030,C01859,P011,Insurance,0.01,2024-01-27,Branch,Completed,True
T000032,C01632,P002,Investment,487.55,2025-01-16,Online,Completed,False
T000033,C01632,P001,Banking,163.15,2025-03-11,Online,Completed,True
T000034,C01632,P001,Banking,368.63,2024-07-24,Online,Completed,True
T000036,C01307,P015,Banking,0.01,2022-06-07,Mobile App,Completed,True
T000035,C01307,P011,Banking,0.01,2023-04-25,Mobile App,Completed,True
T000037,C01286,P001,Investment,680.11,2025-04-29,Mobile App,Completed,False
T000038,C01286,P001,Investment,671.93,2022-12-04,Online,Completed,True
T000039,C01286,P001,Investment,561.03,2023-07-29,Online,Cancelled,False
T000049,C01869,P001,Banking,5384.46,2024-10-20,Branch,Completed,True
T000048,C01869,P001,Investment,2341.71,2023-09-27,Online,Completed,True
T000042,C01869,P005,Investment,3942.33,2023-06-14,Online,Completed,True
T000040,C01869,P014,Investment,4243.32,2025-07-06,Online,Completed,True
T000046,C01869,P002,Investment,6520.57,2023-03-17,Branch,Pending,True
T000044,C01869,P001,Credit,3623.6,2023-10-04,Online,Completed,False
T000043,C01869,P014,Banking,434.8,2024-03-10,Online,Completed,True
T000047,C01869,P009,Investment,6264.94,2023-10-15,Branch,Completed,True
T000041,C01869,P002,Investment,683.59,2022-01-01,Branch,Pending,True
T000045,C01869,P001,Banking,4883.98,2025-06-27,Branch,Completed,True
T000054,C01831,P002,Banking,721.31,2022-08-15,Branch,Completed,True
T000052,C01831,P002,Investment,152.48,2025-08-01,Mobile App,Completed,True
T000050,C01831,P002,Credit,0.01,2023-12-27,Online,Completed,True
T000051,C01831,P008,Banking,0.01,2024-09-09,Online,Completed,True
T000053,C01831,P001,Investment,3511.13,2022-09-08,Mobile App,Completed,True
T000059,C00869,P010,Banking,5216.37,2024-03-26,Online,Completed,False
T000057,C00869,P015,Banking,4181.1,2024-03-08,Mobile App,Completed,False
