customer_id,age,gender,income,education,occupation,marital_status,region,num_dependents,credit_score,tenure_years,is_churned
sdv-id-FwpFay,32,Male,90028.92,Master,Teacher,Single,North,0,499,10.9,False
sdv-id-vthVpX,77,Non-binary,151185.46,Associate,Manager,Single,East,0,659,0.1,False
sdv-id-XnlgaZ,35,Non-binary,73697.29,Associate,Nurse,Single,East,2,604,16.1,False
sdv-id-mLbuan,44,Non-binary,70749.65,Master,Nurse,Single,Central,0,598,1.2,False
sdv-id-jWWKIV,18,Female,112382.27,Associate,Doctor,Single,East,0,482,0.1,False
sdv-id-QoLaRM,77,Male,68244.2,Master,Student,Divorced,Central,1,637,7.2,False
sdv-id-iIZxOY,40,Female,69526.58,Associate,Retail Worker,Married,North,0,587,0.3,False
sdv-id-GbyukC,45,Male,26427.9,PhD,Nurse,Married,Central,2,598,1.2,False
sdv-id-FChuMs,39,Non-binary,32321.66,Bachelor,Engineer,Single,East,0,511,0.1,False
sdv-id-otyTTI,43,Non-binary,163223.0,Master,Teacher,Single,West,2,697,0.1,False
sdv-id-REeyrv,80,Male,83045.8,Master,Lawyer,Married,West,0,717,16.8,False
sdv-id-BKGJmG,24,Female,148142.93,Bachelor,Accountant,Single,Central,3,536,0.1,False
sdv-id-Fhveac,21,Male,59439.27,Bachelor,Retail Worker,Married,North,1,477,0.1,False
sdv-id-PIchIV,25,Female,146508.28,Associate,Retail Worker,Single,Central,2,566,3.0,True
sdv-id-nbtaME,69,Non-binary,69120.25,Bachelor,Manager,Widowed,North,0,518,5.1,False
sdv-id-iJgMWZ,65,Non-binary,104813.56,Associate,Student,Married,East,0,522,11.3,False
sdv-id-mvlnhQ,58,Female,134532.15,Associate,Student,Single,North,0,646,1.4,False
sdv-id-vIzFWL,29,Male,87624.5,Bachelor,Manager,Married,East,0,666,8.9,False
sdv-id-aYfPFf,21,Male,263584.92,Bachelor,Engineer,Married,Central,0,666,0.5,False
sdv-id-DjXAFi,59,Non-binary,108161.34,Bachelor,Teacher,Married,East,0,633,6.0,False
sdv-id-HHyeJq,26,Non-binary,64482.26,PhD,Doctor,Married,West,0,600,3.3,False
sdv-id-vgZlGh,33,Non-binary,108863.82,Bachelor,Teacher,Married,North,2,785,0.1,False
sdv-id-ZhZKee,41,Non-binary,33882.6,Associate,Lawyer,Married,West,2,634,17.2,False
sdv-id-tWBpjH,72,Non-binary,99234.72,Master,Lawyer,Single,Central,0,553,17.0,False
sdv-id-PFqeat,28,Non-binary,59839.41,Associate,Business Owner,Married,Central,0,630,4.1,False
sdv-id-SSpJBj,76,Female,107721.74,Master,Retired,Married,Central,1,455,0.1,False
sdv-id-DNRKBY,56,Non-binary,106232.83,Master,Teacher,Single,North,1,803,2.4,False
sdv-id-InmFNO,43,Non-binary,111230.06,Master,Lawyer,Married,Central,0,708,7.7,False
sdv-id-rBHjHP,32,Non-binary,105210.72,Associate,Retail Worker,Single,Central,0,602,5.5,False
sdv-id-bLhNYB,18,Male,26753.59,Bachelor,Retired,Single,East,2,597,0.2,False
sdv-id-dbtMmE,80,Male,108686.31,Bachelor,Engineer,Married,Central,0,656,3.2,False
sdv-id-OjCmpd,78,Non-binary,102492.01,Associate,Retail Worker,Married,Central,1,619,6.2,False
sdv-id-ZMgEQb,61,Non-binary,99042.66,Bachelor,Nurse,Single,West,0,639,6.8,False
sdv-id-vMjXsB,56,Non-binary,205306.21,Master,Business Owner,Married,Central,0,528,0.1,False
sdv-id-cTQiLK,63,Non-binary,82374.59,PhD,Retired,Married,West,1,612,2.4,False
sdv-id-tSGcIm,55,Female,69519.37,Master,Manager,Single,Central,4,566,1.5,False
sdv-id-TFdgHt,66,Non-binary,80692.28,Associate,Student,Married,East,0,731,20.0,True
sdv-id-raGkgW,61,Non-binary,92410.79,High School,Doctor,Married,East,0,662,12.9,False
sdv-id-xYznOJ,43,Non-binary,86516.6,Master,Retail Worker,Single,South,0,503,9.2,False
sdv-id-JqOJJh,31,Male,139260.06,Associate,Retired,Single,Central,0,612,1.6,False
sdv-id-dcXrxF,65,Female,15773.45,Master,Nurse,Married,South,0,614,14.9,False
sdv-id-FFWYyV,38,Female,86299.57,Bachelor,Doctor,Widowed,South,0,669,2.2,False
sdv-id-NkuBeg,45,Non-binary,84449.16,PhD,Teacher,Single,Central,0,625,0.1,False
sdv-id-VEfaTd,39,Non-binary,54424.14,Associate,Business Owner,Widowed,West,2,616,3.8,False
sdv-id-WYfWTu,57,Male,54319.9,Master,Student,Single,Central,1,612,0.1,False
sdv-id-ywBVKB,40,Male,66556.18,Bachelor,Lawyer,Married,Central,3,587,4.7,False
sdv-id-nvAGem,18,Male,90210.87,Associate,Engineer,Single,South,1,594,0.1,False
sdv-id-hVsbaT,25,Non-binary,115729.55,Master,Lawyer,Single,North,2,599,0.8,False
sdv-id-imIXTS,18,Non-binary,65712.48,Associate,Engineer,Widowed,South,1,540,1.4,False
sdv-id-ezADuu,65,Female,114444.71,Master,Student,Married,North,0,665,19.0,False
sdv-id-uPYWeG,77,Non-binary,61230.76,Bachelor,Lawyer,Divorced,Central,0,519,0.1,False
sdv-id-DJpSsV,37,Male,40940.12,Associate,Business Owner,Married,North,0,636,19.5,False
sdv-id-TCParK,51,Male,46156.08,PhD,Doctor,Married,North,1,642,3.2,False
sdv-id-WvkigN,38,Non-binary,111368.14,Bachelor,Retail Worker,Single,East,0,513,18.4,False
sdv-id-GLBiQd,65,Non-binary,85179.98,Master,Teacher,Married,Central,0,628,11.7,False
sdv-id-ujmLTC,80,Female,36487.73,Associate,Retired,Married,North,2,548,16.0,False
sdv-id-rfWeZd,28,Female,88468.61,PhD,Nurse,Single,South,2,560,7.4,False
sdv-id-BUWTPn,80,Male,56280.8,Bachelor,Teacher,Divorced,Central,0,581,5.5,False
sdv-id-UlUuwk,23,Female,51447.36,Bachelor,Retail Worker,Single,East,0,593,12.8,False
sdv-id-xRVnIm,18,Female,51088.07,Associate,Retail Worker,Married,West,2,526,4.2,False
sdv-id-HuZORX,37,Male,38256.07,Master,Retired,Married,Central,1,747,0.1,False
sdv-id-OBLEPS,41,Male,28712.71,Bachelor,Business Owner,Single,North,0,679,19.5,False
sdv-id-UcOoUC,56,Male,15000.0,Associate,Engineer,Married,East,0,676,0.1,False
sdv-id-mOoVGi,29,Male,173571.44,Master,Doctor,Single,North,0,501,2.5,False
sdv-id-QeMIAb,37,Non-binary,122582.39,Bachelor,Accountant,Married,Central,3,640,5.0,False
sdv-id-FFCxMP,28,Non-binary,105249.23,Associate,Business Owner,Single,South,2,647,0.1,False
sdv-id-BLgeVa,35,Non-binary,130009.26,Master,Business Owner,Widowed,Central,3,735,15.6,False
sdv-id-VThUoY,80,Non-binary,127290.44,Master,Retired,Married,Central,1,599,12.5,False
sdv-id-HyzjjY,46,Male,15000.0,Bachelor,Doctor,Married,North,0,546,2.7,False
sdv-id-IuYsYA,58,Female,142575.48,Master,Doctor,Married,South,2,589,1.8,False
sdv-id-QDhofU,44,Female,57429.55,Bachelor,Engineer,Single,Central,0,712,10.9,False
sdv-id-uXywtg,21,Non-binary,55488.9,Associate,Teacher,Married,East,0,597,3.7,False
sdv-id-MBDlQW,80,Female,163440.99,Bachelor,Business Owner,Single,North,0,470,10.4,False
sdv-id-sQdHyP,21,Male,105865.97,Bachelor,Business Owner,Single,North,0,489,8.4,False
