transaction_id,customer_id,transaction_date,product_id,product_category,amount,channel,status,is_first_product
T00000000,sdv-id-imIXTS,2022-11-17,P007,Investment,1328.88,Phone,Completed,True
T00000001,sdv-id-imIXTS,2022-10-12,P014,Banking,1113.4,Online,Completed,False
T00000002,sdv-id-imIXTS,2022-12-16,P008,Banking,778.19,Phone,Completed,True
T00000003,sdv-id-imIXTS,2022-12-06,P009,Investment,1050.91,Phone,Completed,True
T00000004,sdv-id-KhvMKb,2025-03-22,P005,Insurance,2458.52,Mobile App,Completed,True
T00000005,sdv-id-KhvMKb,2024-12-25,P007,Insurance,1851.49,Online,Completed,False
T00000006,sdv-id-KhvMKb,2025-09-13,P008,Banking,1506.46,Mobile App,Completed,False
T00000007,sdv-id-KhvMKb,2024-12-25,P015,Banking,1608.8,Online,Cancelled,False
T00000008,sdv-id-KhvMKb,2024-12-24,P013,Investment,905.16,Online,Cancelled,False
T00000009,sdv-id-KhvMKb,2024-12-02,P001,Investment,1617.06,Online,Completed,False
T00000010,sdv-id-KhvMKb,2024-10-26,P001,Investment,596.82,Online,Cancelled,False
T00000011,sdv-id-zXJiDO,2023-05-18,P002,Insurance,3122.35,Mobile App,Completed,True
T00000012,sdv-id-zXJiDO,2023-03-29,P002,Insurance,1607.41,Branch,Completed,True
T00000013,sdv-id-zXJiDO,2023-07-03,P010,Insurance,921.64,Online,Cancelled,True
T00000014,sdv-id-zXJiDO,2023-09-10,P007,Investment,1253.76,Online,Cancelled,False
T00000015,sdv-id-ZVBxCR,2024-05-03,P007,Banking,797.69,Branch,Pending,False
T00000016,sdv-id-ZVBxCR,2024-04-11,P007,Credit,961.89,Online,Completed,True
T00000017,sdv-id-ZVBxCR,2024-03-11,P002,Banking,1393.11,Online,Pending,False
T00000018,sdv-id-ZVBxCR,2023-12-07,P008,Banking,1068.57,Online,Completed,True
T00000019,sdv-id-ZVBxCR,2023-05-08,P001,Investment,969.15,Online,Completed,True
T00000020,sdv-id-ZVBxCR,2023-01-16,P007,Credit,900.93,Mobile App,Completed,True
T00000021,sdv-id-ZVBxCR,2023-03-28,P008,Credit,732.48,Online,Cancelled,True
T00000022,sdv-id-ZVBxCR,2023-01-19,P001,Insurance,1070.11,Online,Completed,False
T00000023,sdv-id-ZVBxCR,2023-04-18,P007,Investment,1128.56,Phone,Cancelled,True
T00000024,sdv-id-ZVBxCR,2023-01-26,P002,Investment,1101.15,Mobile App,Cancelled,False
T00000025,sdv-id-ZVBxCR,2022-12-16,P001,Investment,1680.5,Online,Cancelled,True
T00000026,sdv-id-phclgH,2024-04-29,P002,Banking,1630.4,Mobile App,Completed,True
T00000027,sdv-id-phclgH,2024-11-25,P010,Insurance,2422.53,Mobile App,Completed,True
T00000028,sdv-id-phclgH,2025-01-07,P005,Banking,1813.21,Online,Cancelled,False
T00000029,sdv-id-wXPHEV,2025-01-03,P010,Banking,1714.99,Online,Cancelled,True
T00000030,sdv-id-ezsOhf,2024-11-15,P008,Credit,3664.95,Online,Cancelled,True
T00000031,sdv-id-ezsOhf,2025-11-11,P003,Banking,824.69,Online,Completed,False
T00000032,sdv-id-ezsOhf,2025-05-10,P007,Banking,2029.36,Branch,Completed,True
T00000033,sdv-id-LXfZdG,2022-02-28,P014,Banking,2381.93,Branch,Completed,True
T00000034,sdv-id-LXfZdG,2022-05-11,P014,Banking,2034.31,Branch,Completed,True
T00000035,sdv-id-LXfZdG,2021-11-11,P007,Banking,1649.71,Phone,Completed,False
T00000036,sdv-id-LXfZdG,2021-09-14,P001,Credit,1136.99,Online,Completed,True
T00000037,sdv-id-LXfZdG,2021-08-06,P002,Insurance,1839.48,Online,Completed,True
T00000038,sdv-id-znzBAH,2023-09-27,P014,Credit,3300.29,Mobile App,Completed,True
T00000039,sdv-id-znzBAH,2023-10-12,P005,Banking,1481.79,Online,Completed,True
T00000040,sdv-id-znzBAH,2023-06-03,P006,Investment,5851.98,Phone,Completed,True
