transaction_id,product_id,product_category,amount,transaction_date,channel,status,is_first_product,customer_id
T00000000,P004,Credit,65.4,2022-03-11,Mobile App,Completed,True,sdv-id-FwpFay
T00000001,P012,Investment,4770.19,2025-09-07,Branch,Completed,True,sdv-id-FwpFay
T00010000,P014,Banking,1633.09,2022-01-02,Branch,Pending,True,sdv-id-vthVpX
T00010001,P004,Credit,9272.39,2022-01-13,Branch,Completed,True,sdv-id-vthVpX
T00010002,P005,Credit,2145.86,2022-04-07,Online,Completed,True,sdv-id-vthVpX
T00010003,P010,Insurance,178.71,2025-12-04,Branch,Completed,True,sdv-id-vthVpX
T00010004,P002,Banking,42.78,2024-08-23,Branch,Cancelled,True,sdv-id-vthVpX
T00010005,P009,Insurance,110.68,2025-06-08,Branch,Completed,True,sdv-id-vthVpX
T00020000,P005,Credit,1971.72,2022-06-24,Mobile App,Completed,True,sdv-id-XnlgaZ
T00020001,P012,Investment,4628.23,2022-04-17,Branch,Pending,True,sdv-id-XnlgaZ
T00020002,P015,Investment,0.06,2022-02-15,Online,Pending,False,sdv-id-XnlgaZ
T00020003,P011,Investment,50.31,2022-05-09,Mobile App,Completed,True,sdv-id-XnlgaZ
T00030000,P010,Insurance,52.34,2025-08-26,Branch,Completed,True,sdv-id-mLbuan
T00040000,P005,Credit,9204.53,2022-06-27,Branch,Pending,True,sdv-id-jWWKIV
T00050000,P001,Banking,36.1,2025-09-23,Online,Completed,False,sdv-id-QoLaRM
T00060000,P015,Investment,2.37,2025-10-30,Branch,Pending,False,sdv-id-iIZxOY
T00060001,P001,Banking,38.44,2025-08-25,Online,Pending,False,sdv-id-iIZxOY
T00070000,P012,Investment,1465.28,2024-06-30,Online,Pending,True,sdv-id-GbyukC
T00070001,P013,Banking,1034.5,2025-07-30,Online,Completed,False,sdv-id-GbyukC
T00070002,P001,Banking,9.3,2022-04-22,Online,Completed,False,sdv-id-GbyukC
T00070003,P005,Credit,7589.1,2022-06-06,Branch,Pending,True,sdv-id-GbyukC
T00070004,P002,Banking,0.06,2025-01-01,Online,Cancelled,False,sdv-id-GbyukC
T00070005,P002,Banking,424.92,2022-04-11,Online,Pending,False,sdv-id-GbyukC
T00080000,P001,Banking,17.76,2023-09-30,Online,Pending,False,sdv-id-FChuMs
T00080001,P013,Banking,886.87,2025-11-27,Online,Pending,True,sdv-id-FChuMs
T00080002,P003,Credit,368.72,2022-06-07,Branch,Completed,True,sdv-id-FChuMs
T00080003,P014,Banking,1922.05,2022-01-01,Branch,Completed,True,sdv-id-FChuMs
T00080004,P001,Banking,26.11,2022-06-21,Online,Pending,True,sdv-id-FChuMs
T00090000,P008,Insurance,79.71,2025-04-18,Branch,Completed,True,sdv-id-otyTTI
T00090001,P001,Banking,51.88,2022-08-03,Online,Completed,False,sdv-id-otyTTI
T00100000,P010,Insurance,77.5,2022-08-31,Online,Pending,True,sdv-id-REeyrv
T00100001,P010,Insurance,953.4,2025-10-22,Branch,Pending,False,sdv-id-REeyrv
T00100002,P011,Investment,603.6,2025-07-13,Online,Completed,False,sdv-id-REeyrv
T00110000,P015,Investment,14.97,2025-07-08,Online,Pending,False,sdv-id-BKGJmG
T00110001,P009,Insurance,145.45,2025-07-15,Branch,Completed,True,sdv-id-BKGJmG
T00110002,P001,Banking,105.37,2022-01-01,Online,Pending,False,sdv-id-BKGJmG
T00120000,P010,Insurance,182.72,2025-12-24,Branch,Completed,True,sdv-id-Fhveac
T00120001,P003,Credit,635.71,2025-09-22,Branch,Pending,True,sdv-id-Fhveac
T00120002,P014,Banking,1930.09,2022-04-25,Branch,Completed,True,sdv-id-Fhveac
T00120003,P014,Banking,1997.69,2022-06-27,Branch,Completed,True,sdv-id-Fhveac
T00130000,P005,Credit,1246.8,2022-05-29,Online,Completed,True,sdv-id-PIchIV
