customer_id,age,gender,income,education,occupation,marital_status,region,num_dependents,credit_score,tenure_years,is_churned
C00001,48,Non-binary,103086.78,High School,Business Owner,Single,South,2,611,14.8,False
C00002,33,Male,84244.91,Associate,Manager,Married,Central,0,611,4.1,False
C00003,62,Male,33193.79,Bachelor,Retail Worker,Divorced,Central,0,649,5.4,True
C00004,33,Female,138332.25,Bachelor,Doctor,Single,South,1,677,15.5,False
C00005,57,Female,86674.7,Master,Retired,Married,Central,0,682,12.7,False
C00006,18,Female,69861.26,Master,Nurse,Married,South,0,618,9.2,True
C00007,54,Male,180199.91,Master,Doctor,Married,Central,0,715,15.0,False
C00008,25,Non-binary,41500.21,Associate,Retail Worker,Married,Central,2,602,19.1,False
C00009,34,Female,55148.38,Bachelor,Manager,Married,South,1,588,4.6,False
C00010,36,Female,43047.28,Bachelor,Nurse,Married,North,2,503,13.5,False
C00011,39,Female,88081.02,Associate,Accountant,Single,North,2,607,8.9,False
C00012,76,Male,76152.78,Bachelor,Accountant,Single,West,0,625,18.1,False
C00013,61,Male,205693.03,PhD,Doctor,Divorced,North,1,770,11.9,False
C00014,65,Male,111839.74,Bachelor,Engineer,Married,West,0,605,13.2,False
C00015,53,Male,25153.09,Master,Retail Worker,Single,West,2,575,16.7,False
C00016,45,Male,111185.04,Bachelor,Engineer,Married,North,0,659,18.0,False
C00017,44,Female,40397.74,PhD,Teacher,Widowed,South,2,591,17.3,False
C00018,54,Female,92812.16,Bachelor,Manager,Married,Central,2,624,6.7,True
C00019,38,Female,144990.02,Master,Lawyer,Single,West,0,701,0.1,False
C00020,30,Non-binary,162871.18,Master,Business Owner,Single,West,3,724,15.7,False
C00021,47,Non-binary,133418.73,High School,Doctor,Married,South,0,635,3.6,False
C00022,67,Female,140903.06,Master,Manager,Married,South,2,725,14.9,False
C00023,37,Female,85751.64,Bachelor,Manager,Single,South,2,606,4.7,False
C00024,29,Male,107023.73,Bachelor,Business Owner,Married,North,1,639,7.8,False
C00025,21,Female,168158.19,Associate,Business Owner,Married,South,1,688,9.1,False
C00026,51,Female,155043.79,Associate,Doctor,Married,North,1,656,15.1,False
C00027,35,Non-binary,36159.53,Master,Retired,Single,East,0,621,17.0,False
C00028,43,Male,105553.3,Bachelor,Accountant,Single,West,2,627,11.4,False
C00029,38,Non-binary,74672.63,Bachelor,Engineer,Single,South,4,584,8.1,False
C00030,39,Female,15000.0,Bachelor,Student,Widowed,Central,0,545,12.0,False
C00031,35,Male,84076.45,Bachelor,Accountant,Married,East,2,580,3.8,True
C00032,39,Female,64714.76,Master,Nurse,Married,Central,0,594,1.3,False
C00033,30,Female,24154.77,Bachelor,Student,Married,North,2,610,4.7,False
C00034,42,Male,159175.22,High School,Business Owner,Married,Central,1,673,18.4,False
C00035,23,Female,100652.01,PhD,Accountant,Married,East,0,626,6.5,True
C00036,59,Non-binary,50139.31,Bachelor,Engineer,Widowed,Central,0,572,16.0,False
C00037,43,Male,103585.94,Bachelor,Accountant,Married,Central,2,645,15.3,False
C00038,61,Female,50526.15,Master,Nurse,Married,South,0,631,10.0,True
C00039,18,Non-binary,60418.54,PhD,Engineer,Married,West,2,579,15.7,False
C00040,21,Non-binary,86927.22,Bachelor,Engineer,Single,North,0,624,5.9,False
C00041,52,Female,109825.77,Bachelor,Lawyer,Married,Central,2,633,2.9,False
C00042,40,Female,29471.37,PhD,Retired,Married,North,0,611,8.9,False
C00043,53,Non-binary,35694.54,Bachelor,Retired,Married,North,1,559,11.4,False
C00044,53,Non-binary,60603.21,High School,Business Owner,Married,West,2,556,3.6,False
C00045,65,Male,185265.59,Bachelor,Doctor,Single,South,2,796,17.2,False
C00046,18,Non-binary,187651.38,PhD,Doctor,Married,West,2,748,0.5,False
C00047,18,Female,107116.06,High School,Engineer,Widowed,East,1,618,17.9,True
C00048,31,Male,56829.13,Bachelor,Lawyer,Widowed,West,1,604,1.9,False
C00049,29,Female,47177.97,Master,Teacher,Widowed,Central,1,608,5.1,False
C00050,49,Female,46532.55,Bachelor,Retail Worker,Married,North,1,603,9.1,False
C00051,58,Non-binary,107632.63,Bachelor,Manager,Married,West,0,629,19.9,False
C00052,47,Female,60946.95,Master,Nurse,Married,North,2,649,6.3,False
C00053,29,Non-binary,161477.65,Bachelor,Doctor,Married,West,2,711,17.4,False
C00054,43,Non-binary,86117.13,Master,Business Owner,Single,East,2,684,14.1,False
C00055,19,Female,37247.71,Bachelor,Retail Worker,Single,East,1,582,13.7,False
C00056,53,Female,101686.28,High School,Nurse,Widowed,North,0,605,0.3,False
C00057,63,Non-binary,143679.68,PhD,Doctor,Married,North,1,710,4.9,False
C00058,20,Non-binary,41313.85,High School,Retired,Married,Central,1,533,15.2,False
C00059,49,Non-binary,64017.79,Bachelor,Accountant,Married,North,2,599,9.0,False
C00060,77,Female,105715.82,PhD,Doctor,Married,South,0,678,0.9,False
C00061,38,Non-binary,18800.98,Master,Student,Divorced,East,0,594,1.7,False
C00062,40,Female,45449.75,Bachelor,Retired,Married,South,0,607,13.4,False
C00063,34,Non-binary,38915.0,Bachelor,Retail Worker,Single,East,1,571,3.7,False
C00064,18,Female,181764.04,Associate,Lawyer,Married,West,2,680,16.3,False
C00065,34,Female,111974.08,Bachelor,Manager,Single,West,4,716,1.9,False
C00066,44,Female,43259.53,Master,Teacher,Married,West,0,663,9.0,True
C00067,45,Male,27861.53,Bachelor,Student,Married,North,2,563,16.8,False
C00068,49,Non-binary,34113.84,Bachelor,Retired,Married,Central,0,531,19.5,True
C00069,78,Non-binary,38946.54,Master,Retail Worker,Single,East,1,604,11.0,False
C00070,43,Non-binary,85721.01,Associate,Teacher,Single,West,1,602,0.8,False
C00071,66,Female,81190.99,PhD,Manager,Married,North,0,715,15.1,False
C00072,47,Male,140529.29,Bachelor,Business Owner,Married,Central,4,634,14.4,False
C00073,57,Male,43793.76,Associate,Retired,Married,West,1,521,19.0,True
C00074,27,Female,30223.41,Master,Student,Single,East,1,602,8.0,False
C00075,74,Non-binary,89114.84,High School,Manager,Single,East,3,636,17.0,False
C00076,27,Female,26592.7,Bachelor,Retail Worker,Married,Central,0,565,2.7,False
C00077,39,Male,98516.09,Master,Manager,Single,South,1,678,3.3,False
C00078,36,Male,27396.45,High School,Retired,Married,East,2,510,13.1,False
C00079,50,Non-binary,39347.99,High School,Retail Worker,Married,East,1,571,19.5,False
C00080,41,Male,103767.87,Master,Accountant,Widowed,West,1,649,10.0,False
C00081,32,Male,114848.67,Associate,Manager,Married,North,3,659,1.0,False
C00082,44,Female,38303.5,Bachelor,Retired,Single,West,0,584,5.4,False
C00083,35,Male,66917.04,Bachelor,Nurse,Single,South,4,653,8.3,False
C00084,27,Female,145417.82,Associate,Business Owner,Married,South,0,699,13.8,False
C00085,50,Male,48637.01,Bachelor,Business Owner,Widowed,North,0,638,7.0,False
C00086,49,Female,79421.5,Bachelor,Accountant,Single,South,0,629,0.2,False
C00087,62,Male,54854.12,PhD,Nurse,Married,South,0,688,18.7,False
C00088,55,Female,138924.05,Associate,Doctor,Married,West,0,658,13.0,False
C00089,41,Male,39199.11,Bachelor,Retail Worker,Married,North,0,632,13.4,False
C00090,40,Non-binary,52851.86,Associate,Teacher,Married,West,0,550,15.0,False
C00091,47,Non-binary,120443.35,High School,Manager,Divorced,South,1,623,11.5,False
C00092,80,Non-binary,146134.84,Associate,Doctor,Single,East,1,632,14.0,False
C00093,18,Non-binary,50988.35,PhD,Retired,Widowed,East,2,650,17.9,False
C00094,65,Male,58116.74,PhD,Nurse,Married,South,3,657,16.7,False
C00095,32,Male,89361.15,Associate,Engineer,Married,South,0,644,10.8,False
C00096,32,Male,41661.52,Bachelor,Nurse,Married,North,0,573,19.4,False
C00097,53,Female,69670.01,Bachelor,Teacher,Married,East,3,600,4.1,False
C00098,52,Male,20415.57,Associate,Student,Married,Central,0,536,4.4,False
C00099,43,Female,71788.02,Master,Nurse,Married,East,2,694,6.2,False
C00100,57,Female,26680.75,Master,Retail Worker,Divorced,East,0,594,6.3,True
C00101,46,Male,38266.19,PhD,Retired,Single,North,3,620,8.3,False
C00102,62,Non-binary,104110.07,Bachelor,Engineer,Married,East,1,654,10.8,False
C00103,28,Non-binary,15000.0,PhD,Retired,Married,North,0,556,8.2,False
C00104,18,Non-binary,66340.15,Master,Accountant,Single,North,2,584,12.4,False
C00105,31,Non-binary,60789.87,PhD,Nurse,Widowed,East,1,611,0.7,False
C00106,28,Male,82107.51,PhD,Accountant,Married,East,1,622,2.1,True
C00107,43,Male,162215.37,Bachelor,Lawyer,Married,West,1,713,11.9,False
C00108,67,Female,68590.3,PhD,Business Owner,Married,West,0,623,19.4,False
C00109,45,Non-binary,86892.4,High School,Nurse,Married,South,2,536,12.7,False
C00110,33,Non-binary,33419.72,Bachelor,Retail Worker,Widowed,West,1,554,2.2,True
C00111,51,Non-binary,118930.86,Bachelor,Accountant,Single,West,2,675,6.4,False
C00112,29,Female,94256.45,PhD,Lawyer,Married,South,3,711,3.8,False
C00113,50,Non-binary,48941.08,Bachelor,Nurse,Married,East,1,562,7.1,False
C00114,36,Non-binary,60567.67,PhD,Teacher,Married,West,1,627,5.8,False
C00115,27,Female,106261.37,Bachelor,Accountant,Married,North,3,720,11.5,False
C00116,42,Female,171187.71,Master,Doctor,Married,South,2,644,4.3,False
C00117,63,Male,136562.86,Bachelor,Manager,Single,Central,0,655,3.5,False
C00118,44,Male,125620.09,Master,Lawyer,Married,West,2,685,9.8,False
C00119,25,Non-binary,198312.37,High School,Doctor,Married,West,2,688,12.7,False
C00120,43,Female,15000.0,Bachelor,Student,Single,West,0,554,15.8,False
C00121,25,Female,44398.67,Master,Retired,Single,West,1,535,12.5,False
C00122,72,Non-binary,98799.98,Bachelor,Lawyer,Single,North,3,639,2.9,False
C00123,30,Non-binary,84482.17,Bachelor,Nurse,Single,North,0,660,15.7,False
C00124,55,Non-binary,77296.15,Bachelor,Manager,Married,West,1,607,19.1,False
C00125,67,Male,63949.62,PhD,Teacher,Married,West,1,661,11.8,False
C00126,46,Male,41525.9,Associate,Retail Worker,Married,East,0,570,3.4,False
C00127,42,Female,146225.13,Bachelor,Doctor,Married,North,2,683,10.1,False
C00128,48,Male,61242.98,Associate,Nurse,Single,Central,0,580,7.0,False
C00129,58,Female,125608.68,PhD,Doctor,Married,Central,1,682,2.8,False
C00130,52,Female,106950.84,Associate,Lawyer,Single,Central,2,644,2.3,True
C00131,34,Female,209536.97,High School,Lawyer,Widowed,West,1,755,10.3,False
C00132,43,Female,209101.2,Master,Doctor,Divorced,East,1,747,2.5,False
C00133,50,Female,185163.2,Associate,Lawyer,Divorced,East,1,672,5.7,False
C00134,44,Non-binary,130988.92,Bachelor,Manager,Married,East,1,665,18.3,False
C00135,33,Female,101719.36,Bachelor,Engineer,Married,South,1,664,11.6,False
C00136,29,Non-binary,22840.18,Master,Student,Single,East,0,576,19.0,False
C00137,34,Female,54831.77,High School,Teacher,Married,South,0,482,15.5,False
C00138,43,Female,63428.88,High School,Teacher,Married,West,0,566,15.9,False
C00139,19,Non-binary,29317.91,High School,Student,Married,Central,0,516,4.3,False
C00140,34,Female,60145.8,Master,Teacher,Divorced,West,0,640,17.6,False
C00141,41,Female,132064.79,Associate,Doctor,Married,North,1,712,6.8,False
C00142,32,Male,92028.28,Bachelor,Lawyer,Married,Central,0,666,14.5,False
C00143,31,Female,114167.35,Master,Business Owner,Married,West,1,700,9.8,False
C00144,35,Non-binary,138430.49,Bachelor,Manager,Married,West,2,707,11.5,False
C00145,46,Female,56413.57,Associate,Retired,Single,Central,0,638,5.2,False
C00146,55,Female,44499.09,Master,Retail Worker,Divorced,East,2,682,7.7,False
C00147,60,Non-binary,79542.64,High School,Accountant,Single,West,1,604,14.8,False
C00148,18,Non-binary,109089.78,Master,Engineer,Single,South,1,706,15.1,False
C00149,35,Male,26970.38,Associate,Student,Married,South,2,506,17.2,False
C00150,56,Non-binary,39199.01,High School,Teacher,Married,Central,5,547,16.0,False
C00151,57,Non-binary,107588.1,High School,Manager,Widowed,East,0,605,11.3,False
C00152,44,Female,55641.78,PhD,Retired,Married,East,0,622,5.3,False
C00153,34,Female,106484.51,Bachelor,Engineer,Married,Central,0,634,16.3,False
C00154,19,Male,68389.53,Master,Manager,Married,South,1,596,18.0,False
C00155,42,Male,132163.56,High School,Lawyer,Married,Central,0,667,17.9,False
C00156,45,Male,193682.08,High School,Lawyer,Married,North,2,660,17.9,False
C00157,18,Male,23393.87,Bachelor,Student,Married,North,2,567,14.8,False
C00158,35,Male,31883.74,PhD,Nurse,Single,South,0,599,14.6,False
C00159,32,Non-binary,66236.6,High School,Nurse,Married,Central,0,522,5.5,False
C00160,31,Non-binary,125958.73,Bachelor,Business Owner,Single,North,1,706,10.0,False
C00161,57,Non-binary,50210.66,Master,Teacher,Widowed,Central,1,590,1.6,False
C00162,54,Male,83286.73,High School,Engineer,Widowed,South,1,556,2.2,False
C00163,48,Female,106384.04,Bachelor,Doctor,Single,East,1,688,0.3,False
C00164,34,Female,35742.76,Bachelor,Retail Worker,Widowed,North,0,516,10.2,False
C00165,48,Female,15000.0,Bachelor,Student,Married,East,1,534,14.3,True
C00166,37,Male,76694.91,PhD,Nurse,Single,South,0,658,14.4,True
C00167,30,Non-binary,128945.55,Bachelor,Manager,Single,West,1,717,0.2,False
C00168,40,Female,72599.78,PhD,Accountant,Divorced,South,0,598,8.3,False
C00169,18,Female,36466.4,Master,Retail Worker,Married,Central,3,561,10.3,False
C00170,39,Non-binary,86395.47,High School,Business Owner,Married,South,0,588,19.7,False
C00171,46,Non-binary,78491.97,Bachelor,Nurse,Single,East,2,604,13.9,True
C00172,45,Female,73136.15,High School,Accountant,Married,South,0,569,0.9,False
C00173,45,Non-binary,34560.85,Bachelor,Retail Worker,Single,Central,4,583,10.7,False
C00174,74,Female,126729.89,Master,Lawyer,Married,North,1,745,19.0,False
C00175,55,Male,61157.03,Master,Teacher,Single,East,0,636,0.9,True
C00176,19,Female,113313.33,Associate,Lawyer,Single,West,0,616,15.2,False
C00177,55,Male,63735.4,Associate,Lawyer,Married,East,0,560,4.0,False
C00178,23,Female,18765.85,Master,Teacher,Married,East,2,584,16.2,False
C00179,31,Non-binary,65679.0,Bachelor,Teacher,Married,South,1,615,17.8,False
C00180,41,Non-binary,90163.16,Master,Manager,Single,South,1,654,3.7,False
