transaction_id,customer_id,product_id,product_category,amount,transaction_date,channel,status,is_first_product
T000100,C00001,P014,Banking,2303.15,2022-06-28,Online,Completed,True
T000101,C00001,P003,Credit,456.43,2023-03-24,Online,Completed,True
T000102,C00001,P014,Banking,1842.45,2023-02-12,Mobile App,Completed,False
T000103,C00001,P013,Banking,914.29,2023-03-28,Online,Completed,True
T000104,C00001,P001,Banking,7.77,2022-11-23,Mobile App,Completed,True
T000105,C00001,P012,Investment,4306.94,2022-07-29,Branch,Completed,True
T000106,C00001,P012,Investment,3040.59,2025-05-21,Online,Completed,False
T000107,C00001,P010,Insurance,228.51,2025-01-03,Branch,Pending,True
T000108,C00001,P003,Credit,561.23,2025-02-04,Online,Completed,False
T000109,C00001,P012,Investment,3857.09,2025-03-28,Branch,Completed,False
T000110,C00001,P015,Investment,467.9,2023-04-12,Mobile App,Cancelled,True
T000111,C00001,P011,Investment,888.64,2022-07-26,Online,Completed,True
T000112,C00001,P012,Investment,4472.49,2022-11-30,Online,Completed,False
T000113,C00001,P002,Banking,30.46,2025-12-08,Phone,Completed,True
T000200,C00002,P015,Investment,454.95,2025-02-14,Online,Completed,True
T000201,C00002,P001,Banking,20.06,2023-04-15,Mobile App,Completed,True
T000202,C00002,P003,Credit,478.12,2023-03-09,Phone,Completed,True
T000203,C00002,P015,Investment,454.87,2023-10-07,Online,Completed,False
T000204,C00002,P010,Insurance,255.57,2024-07-28,Online,Completed,True
T000205,C00002,P015,Investment,498.99,2025-02-23,Mobile App,Completed,False
T000206,C00002,P002,Banking,49.88,2025-04-10,Mobile App,Completed,True
T000207,C00002,P013,Banking,841.34,2024-10-07,Online,Completed,True
T000208,C00002,P003,Credit,561.69,2022-11-10,Mobile App,Completed,False
T000209,C00002,P002,Banking,49.81,2025-05-06,Online,Completed,False
T000210,C00002,P013,Banking,816.87,2023-05-30,Phone,Completed,False
T000211,C00002,P001,Banking,26.85,2025-10-25,Mobile App,Completed,False
T000212,C00002,P009,Insurance,82.51,2025-08-05,Mobile App,Completed,True
T000300,C00003,P014,Banking,1697.27,2025-08-01,Mobile App,Completed,True
T000301,C00003,P014,Banking,1525.01,2022-11-27,Mobile App,Completed,False
T000302,C00003,P001,Banking,46.45,2025-05-11,Mobile App,Completed,True
T000303,C00003,P014,Banking,2232.11,2023-05-06,Online,Completed,False
T000304,C00003,P001,Banking,48.9,2022-06-25,Mobile App,Completed,False
T000305,C00003,P013,Banking,919.28,2022-09-20,Mobile App,Pending,True
T000306,C00003,P013,Banking,798.0,2023-06-27,Mobile App,Completed,False
T000307,C00003,P013,Banking,867.91,2025-01-09,Mobile App,Completed,False
T000400,C00004,P003,Credit,566.58,2023-04-06,Online,Completed,True
T000401,C00004,P014,Banking,1937.85,2023-04-17,Mobile App,Completed,True
T000402,C00004,P008,Insurance,45.32,2025-07-16,Online,Completed,True
T000403,C00004,P001,Banking,33.45,2023-11-08,Online,Completed,True
T000404,C00004,P003,Credit,386.89,2025-01-09,Online,Pending,False
T000405,C00004,P014,Banking,2329.89,2025-03-26,Mobile App,Completed,False
T000406,C00004,P013,Banking,973.34,2023-01-25,Online,Completed,True
T000407,C00004,P002,Banking,2.71,2024-05-17,Mobile App,Completed,True
T000408,C00004,P008,Insurance,46.92,2025-08-16,Online,Completed,False
T000409,C00004,P002,Banking,22.43,2022-08-12,Online,Completed,False
T000410,C00004,P013,Banking,1176.96,2023-01-11,Online,Completed,False
T000411,C00004,P001,Banking,4.9,2024-06-26,Mobile App,Completed,False
T000412,C00004,P008,Insurance,43.26,2025-01-12,Mobile App,Cancelled,False
T000413,C00004,P003,Credit,562.61,2022-12-07,Mobile App,Completed,False
T000500,C00005,P013,Banking,940.2,2023-08-08,Online,Pending,True
T000501,C00005,P014,Banking,1981.74,2025-09-17,Mobile App,Completed,True
T000502,C00005,P002,Banking,27.11,2023-03-22,Phone,Completed,True
T000503,C00005,P008,Insurance,39.36,2023-10-05,Branch,Completed,True
T000504,C00005,P014,Banking,2312.75,2024-12-23,Branch,Cancelled,False
T000505,C00005,P001,Banking,43.09,2023-01-16,Branch,Completed,True
T000506,C00005,P013,Banking,1135.53,2022-09-03,Phone,Completed,False
T000507,C00005,P014,Banking,2005.7,2025-05-02,Branch,Completed,False
T000508,C00005,P008,Insurance,45.99,2025-04-10,Online,Completed,False
