customer_id,age,gender,income,education,occupation,marital_status,region,num_dependents,credit_score,tenure_years,is_churned
C00955,55,Male,60906.39,Bachelor,Lawyer,Married,South,0,580,10.7,False
C00743,37,Female,122344.23,Associate,Lawyer,Divorced,North,1,586,7.6,True
C00434,53,Non-binary,36105.58,Bachelor,Teacher,Single,East,0,576,0.5,False
C00944,21,Non-binary,91660.94,Master,Business Owner,Married,East,3,690,6.3,False
C00416,32,Male,107054.97,Master,Nurse,Single,South,0,603,10.5,False
C00587,64,Male,58686.64,Bachelor,Teacher,Divorced,East,0,560,0.5,True
C00984,24,Male,139409.02,Bachelor,Business Owner,Married,South,1,609,17.1,True
C00778,52,Male,30701.63,Master,Engineer,Married,West,0,573,12.2,False
C00033,22,Male,29111.7,Bachelor,Manager,Single,East,2,602,10.6,False
C00589,48,Female,17027.75,Master,Teacher,Married,North,0,505,8.7,False
C00160,41,Female,65331.73,Associate,Lawyer,Married,South,0,638,9.5,False
C00173,18,Non-binary,15904.18,High School,Nurse,Divorced,South,0,481,4.1,False
C00394,46,Non-binary,112261.11,Associate,Manager,Single,South,0,671,14.3,False
C00131,67,Non-binary,110351.67,PhD,Lawyer,Married,South,1,601,2.5,False
C00688,59,Non-binary,50277.53,Master,Engineer,Married,East,1,555,3.4,False
C00795,59,Female,98482.97,Bachelor,Engineer,Married,Central,0,659,15.1,False
C00408,46,Male,124936.69,Bachelor,Manager,Single,South,0,643,17.4,False
C00430,29,Non-binary,19842.99,Bachelor,Doctor,Married,South,0,538,7.5,False
C00796,33,Female,57051.19,Bachelor,Business Owner,Married,South,0,665,15.3,True
C00245,28,Female,37313.62,Master,Accountant,Single,West,1,589,8.3,True
C00074,45,Female,100841.54,PhD,Retired,Married,South,0,658,11.8,False
C00167,40,Male,67453.86,High School,Engineer,Single,South,0,605,6.7,True
C00540,44,Non-binary,136451.42,Bachelor,Teacher,Married,East,0,580,10.7,False
C00225,26,Female,44166.43,Bachelor,Lawyer,Married,West,0,610,15.6,False
C00872,33,Male,92549.74,Master,Retired,Single,East,1,630,18.6,False
C00197,40,Male,19225.12,Bachelor,Business Owner,Single,North,1,533,18.7,False
C00142,33,Male,43854.02,Master,Doctor,Married,North,1,574,2.0,False
C00693,19,Male,24756.92,High School,Business Owner,Single,West,0,531,2.1,False
C00214,25,Non-binary,104108.89,Bachelor,Nurse,Single,East,1,580,2.1,True
C00081,33,Non-binary,19345.53,Bachelor,Engineer,Divorced,North,1,551,16.0,False
C00027,46,Non-binary,31773.92,Associate,Retired,Married,South,0,610,18.3,False
C00347,55,Female,140951.49,PhD,Retail Worker,Single,East,2,730,3.7,False
C00821,39,Male,19957.06,Bachelor,Retired,Single,East,0,526,13.0,False
C00262,23,Non-binary,87301.07,High School,Retail Worker,Married,North,0,582,13.2,False
C00298,59,Male,77876.95,Master,Retired,Married,East,0,711,13.0,False
C00458,59,Non-binary,55086.99,High School,Business Owner,Divorced,West,0,521,11.2,False
C00753,77,Female,93565.49,Bachelor,Doctor,Married,East,0,590,8.2,False
C00835,29,Female,117488.16,Bachelor,Engineer,Single,West,2,618,19.6,False
C00029,26,Female,146200.79,Associate,Retail Worker,Single,West,0,708,0.6,False
C00670,47,Non-binary,77963.18,Bachelor,Doctor,Married,East,0,564,1.5,True
C00082,42,Female,193522.16,Bachelor,Business Owner,Married,West,0,725,10.7,False
C00838,22,Non-binary,27899.73,Bachelor,Lawyer,Married,South,1,651,9.2,False
C00717,41,Female,98385.81,Bachelor,Accountant,Married,East,2,577,3.7,False
C00638,59,Female,140427.38,Master,Accountant,Married,South,0,678,11.9,False
C00244,31,Female,17405.54,Bachelor,Doctor,Single,East,2,574,14.9,False
C00702,35,Female,25345.86,Bachelor,Lawyer,Married,North,0,557,7.9,False
C00195,60,Female,216101.31,Master,Lawyer,Widowed,West,0,720,8.0,False
C00845,56,Male,21330.89,Master,Student,Widowed,South,0,603,4.3,False
C00856,24,Female,69550.15,Associate,Engineer,Married,South,1,567,15.8,False
C00970,36,Female,72341.91,Bachelor,Accountant,Single,Central,0,587,3.6,False
C00736,57,Male,71402.49,Bachelor,Accountant,Married,South,0,574,16.9,False
C00564,54,Non-binary,83983.12,Bachelor,Lawyer,Single,East,0,585,14.8,False
C00763,24,Female,135569.17,PhD,Accountant,Single,South,2,675,4.6,False
C00762,18,Female,44813.89,Bachelor,Teacher,Married,East,0,607,10.4,True
C00361,51,Male,26152.46,Master,Nurse,Married,West,0,540,17.2,False
C00594,49,Female,18997.16,Bachelor,Lawyer,Single,East,1,566,15.4,False
C00637,67,Non-binary,20828.92,Bachelor,Accountant,Single,Central,0,554,3.8,False
C00083,30,Male,166486.88,Associate,Accountant,Married,West,0,665,0.9,False
C00255,67,Male,45467.12,Master,Nurse,Single,South,0,601,3.5,False
C00980,40,Female,64931.99,PhD,Lawyer,Single,North,0,664,1.7,False
C00880,28,Non-binary,43847.42,High School,Teacher,Single,East,0,562,12.4,False
C00285,23,Female,97398.81,Master,Retired,Married,West,0,687,10.8,False
C00005,33,Female,73073.23,High School,Retired,Single,West,0,613,9.7,True
C00826,52,Female,73187.64,Bachelor,Nurse,Married,North,0,580,13.0,False
C00646,33,Non-binary,74552.64,Associate,Teacher,Single,South,1,633,19.6,False
C00467,59,Male,112066.29,Bachelor,Retired,Single,South,0,671,6.1,False
C00308,23,Male,105493.02,Associate,Lawyer,Widowed,West,0,600,20.0,False
C00504,42,Female,156986.72,High School,Nurse,Single,South,0,623,1.4,False
C00871,47,Non-binary,144120.94,PhD,Student,Married,East,0,685,9.7,False
C00624,38,Male,51794.47,Master,Accountant,Single,East,0,576,11.7,False
C00538,50,Female,132838.01,Master,Doctor,Married,West,2,659,12.3,False
C00334,36,Non-binary,104759.14,Master,Manager,Single,South,1,608,2.3,False
C00627,61,Female,24287.52,Master,Teacher,Widowed,South,0,564,11.6,True
C00268,67,Female,15531.57,Bachelor,Accountant,Married,South,2,518,4.2,True
C00710,31,Female,40843.23,Bachelor,Engineer,Married,South,0,607,2.2,False
C00000,20,Non-binary,122173.33,PhD,Lawyer,Married,Central,0,693,8.7,False
C00481,27,Non-binary,78983.98,Bachelor,Student,Married,East,0,655,11.4,True
C00949,33,Non-binary,129296.0,High School,Retail Worker,Single,Central,0,637,13.9,True
C00683,52,Female,115807.04,High School,Retail Worker,Married,North,1,658,2.1,False
C00291,36,Female,68093.29,Bachelor,Teacher,Widowed,North,1,630,19.5,False
C00793,28,Female,156178.67,Associate,Teacher,Married,East,1,700,16.3,True
C00181,56,Non-binary,26490.05,High School,Retired,Single,West,1,532,14.2,False
