transaction_id,customer_id,product_id,product_category,amount,transaction_date,channel,status,is_first_product
T000002,C00955,P011,Banking,1368.24,2024-04-19,Online,Cancelled,True
T000001,C00955,P011,Banking,878.52,2023-12-12,Online,Completed,False
T000004,C00955,P011,Banking,1669.92,2023-07-26,Online,Pending,False
T000003,C00955,P011,Banking,1599.09,2023-10-16,Online,Completed,False
T000000,C00955,P011,Banking,2420.78,2023-01-24,Online,Cancelled,False
T000006,C00955,P016,Banking,643.35,2025-01-01,Mobile App,Completed,True
T000005,C00955,P008,Investment,863.26,2024-05-28,Mobile App,Completed,True
T000011,C00743,P011,Banking,1464.21,2023-07-01,Phone,Completed,True
T000010,C00743,P021,Banking,295.59,2024-02-01,Mobile App,Completed,True
T000008,C00743,P008,Investment,1234.01,2022-08-30,Mobile App,Completed,True
T000009,C00743,P019,Investment,1493.66,2023-06-26,Mobile App,Completed,True
T000007,C00743,P029,Insurance,1260.98,2022-01-01,Mobile App,Completed,True
T000012,C00743,P011,Banking,1517.32,2025-12-31,Mobile App,Completed,True
T000016,C00434,P019,Investment,6362.6,2022-03-30,Branch,Completed,True
T000013,C00434,P024,Banking,4304.51,2023-03-24,Phone,Completed,True
T000019,C00434,P011,Banking,3379.14,2022-09-16,Branch,Completed,True
T000017,C00434,P011,Banking,2315.11,2022-12-31,Branch,Completed,False
T000018,C00434,P011,Banking,4600.72,2022-01-01,Branch,Completed,True
T000014,C00434,P001,Insurance,3760.38,2023-06-01,Online,Completed,False
T000015,C00434,P017,Insurance,2601.72,2023-03-04,Mobile App,Completed,False
T000022,C00944,P002,Insurance,20297.75,2022-01-17,Mobile App,Completed,False
T000027,C00944,P015,Investment,11341.96,2022-01-17,Phone,Completed,True
T000023,C00944,P022,Insurance,17585.89,2022-09-16,Branch,Completed,True
T000020,C00944,P000,Insurance,13134.95,2022-11-15,Branch,Completed,True
T000021,C00944,P027,Insurance,28322.83,2022-08-18,Branch,Completed,True
T000025,C00944,P001,Insurance,4200.56,2022-03-12,Online,Completed,True
T000026,C00944,P014,Insurance,8608.47,2023-03-12,Mobile App,Completed,True
T000024,C00944,P014,Insurance,9342.23,2022-01-01,Mobile App,Completed,False
T000029,C00416,P019,Investment,7151.4,2023-06-24,Online,Completed,True
T000028,C00416,P019,Insurance,3249.73,2024-03-11,Mobile App,Completed,True
T000030,C00416,P012,Insurance,6719.19,2023-09-19,Mobile App,Completed,True
T000037,C00587,P008,Insurance,1060.96,2022-01-01,Mobile App,Completed,True
T000032,C00587,P029,Credit,1292.19,2022-02-18,Mobile App,Completed,True
