method,iter,quality_score,diagnostic_score,cust_column_shapes,cust_pair_trends,txn_column_shapes,cross_table_mad,ia_ks_pvalue,autocorr_mae,new_row_synthesis,dcr_protection
M1 HMA-GC,0,0.8723,1.0,0.9314,0.7421,0.8643,0.3799,0.0,0.0907,1.0,0.6175
M2 CTGAN,0,0.8439,0.9995,0.8275,0.5725,0.9052,0.3776,0.0043,0.0089,1.0,0.7015
M3 PAR,0,0.5742,0.7476,0.785,0.5574,0.7769,0.2944,0.0,0.047,1.0,0.7382
M4 TVAE,0,0.8775,1.0,0.7911,0.7761,0.8232,0.3739,0.0,0.0335,1.0,0.6762
M5 MST-DP,0,0.9262,0.9996,0.9217,0.8262,0.8454,0.386,0.0,0.5628,1.0,0.5607
M1 HMA-GC,1,0.8707,1.0,0.937,0.7272,0.8665,0.3692,0.0,0.0644,1.0,0.6304
M2 CTGAN,1,0.858,0.9995,0.8377,0.5806,0.9076,0.3788,0.0434,0.0047,1.0,0.7141
M3 PAR,1,0.5827,0.7411,0.773,0.556,0.7814,0.3129,0.0,0.0413,1.0,0.7573
M4 TVAE,1,0.884,1.0,0.791,0.7944,0.8298,0.3827,0.0,0.0118,1.0,0.6785
M5 MST-DP,1,0.9169,0.9997,0.9254,0.8319,0.8452,0.3801,0.0,0.5868,1.0,0.5785
M1 HMA-GC,2,0.8741,0.9999,0.94,0.7329,0.8662,0.3646,0.0,0.0729,1.0,0.6221
M2 CTGAN,2,0.8404,0.9984,0.8377,0.5662,0.9092,0.3809,0.0664,0.0106,1.0,0.6824
M3 PAR,2,0.634,0.731,0.7778,0.5465,0.7839,0.2886,0.0,0.0278,1.0,0.7601
M4 TVAE,2,0.8822,0.9995,0.796,0.7723,0.8267,0.3904,0.0,0.0188,1.0,0.6529
M5 MST-DP,2,0.8501,0.9993,0.9281,0.8344,0.8508,0.3789,0.0,0.5733,1.0,0.5613
M1 HMA-GC,3,0.8707,0.9998,0.9391,0.7372,0.8656,0.3855,0.0,0.0867,1.0,0.6386
M2 CTGAN,3,0.8432,0.9996,0.8354,0.575,0.9076,0.3983,0.0001,0.0259,1.0,0.7112
M3 PAR,3,0.5614,0.7426,0.7832,0.5232,0.7855,0.3092,0.0,0.0348,1.0,0.7331
M4 TVAE,3,0.8812,1.0,0.7974,0.7765,0.8244,0.3895,0.0,0.0226,1.0,0.6918
M5 MST-DP,3,0.9111,0.9996,0.923,0.8027,0.8461,0.3764,0.0,0.5691,1.0,0.5858
M1 HMA-GC,4,0.8734,1.0,0.9355,0.7347,0.8633,0.3784,0.0,0.0725,1.0,0.6362
M2 CTGAN,4,0.8577,0.9998,0.8365,0.5584,0.907,0.3863,0.0246,0.025,1.0,0.6903
M3 PAR,4,0.5771,0.738,0.7814,0.5344,0.7808,0.2934,0.0,0.0351,1.0,0.7294
M4 TVAE,4,0.8835,0.9999,0.787,0.7646,0.8263,0.3744,0.0,0.0377,1.0,0.6509
M5 MST-DP,4,0.937,0.9997,0.9275,0.8502,0.8486,0.4094,0.0,0.586,1.0,0.6086
M1 HMA-GC,5,0.8821,1.0,0.9336,0.7362,0.866,0.3843,0.0,0.0697,1.0,0.6195
M2 CTGAN,5,0.8436,0.9998,0.8411,0.556,0.9034,0.4066,0.0035,0.0064,1.0,0.6816
M3 PAR,5,0.6408,0.7444,0.7866,0.5488,0.7835,0.3004,0.0,0.0616,1.0,0.7593
M4 TVAE,5,0.8837,1.0,0.7925,0.782,0.8264,0.3921,0.0,0.0254,1.0,0.6671
M5 MST-DP,5,0.8515,0.9996,0.9235,0.813,0.8498,0.3946,0.0,0.5612,1.0,0.5981
M1 HMA-GC,6,0.8711,1.0,0.9409,0.7374,0.8646,0.3898,0.0,0.0672,1.0,0.6306
M2 CTGAN,6,0.845,0.9995,0.8363,0.5713,0.9058,0.3888,0.0524,0.0046,1.0,0.6926
M3 PAR,6,0.581,0.7433,0.7845,0.5627,0.7873,0.2909,0.0,0.0574,1.0,0.7855
M4 TVAE,6,0.8785,1.0,0.7887,0.774,0.8224,0.4002,0.0,0.0224,1.0,0.6738
M5 MST-DP,6,0.9198,0.9996,0.9246,0.8227,0.8435,0.3878,0.0,0.5627,1.0,0.5442
M1 HMA-GC,7,0.8822,1.0,0.938,0.7098,0.8655,0.3721,0.0,0.0853,1.0,0.6392
M2 CTGAN,7,0.8495,1.0,0.8411,0.5588,0.9074,0.4037,0.241,0.0123,1.0,0.6989
M3 PAR,7,0.6472,0.7474,0.7854,0.5317,0.7829,0.3027,0.0,0.0416,1.0,0.7324
M4 TVAE,7,0.8839,1.0,0.7929,0.7786,0.8269,0.376,0.0,0.0257,1.0,0.651
M5 MST-DP,7,0.8583,0.9997,0.92,0.8374,0.851,0.3708,0.0,0.579,1.0,0.6024
M1 HMA-GC,8,0.866,1.0,0.9385,0.7182,0.8642,0.3808,0.0,0.0785,1.0,0.6185
M2 CTGAN,8,0.8572,0.9999,0.8378,0.5839,0.9071,0.3974,0.0226,0.0148,1.0,0.7073
M3 PAR,8,0.5852,0.7454,0.7847,0.5388,0.7852,0.3206,0.0,0.0549,1.0,0.7469
M4 TVAE,8,0.8802,0.9999,0.7905,0.7759,0.8249,0.4002,0.0,0.0374,1.0,0.699
M5 MST-DP,8,0.9197,0.9997,0.9164,0.8385,0.8492,0.3957,0.0,0.5924,1.0,0.5888
M1 HMA-GC,9,0.8714,0.9999,0.9344,0.7463,0.8662,0.3822,0.0,0.0784,1.0,0.6119
M2 CTGAN,9,0.8607,0.9994,0.8364,0.5643,0.9097,0.3836,0.0132,0.0176,1.0,0.6743
M3 PAR,9,0.5791,0.7408,0.78,0.5357,0.7823,0.2894,0.0,0.0488,1.0,0.76
M4 TVAE,9,0.888,0.9999,0.7965,0.7725,0.8236,0.3926,0.0,0.0277,1.0,0.6707
M5 MST-DP,9,0.9305,0.9994,0.9225,0.8139,0.8466,0.3825,0.0,0.5854,1.0,0.6133
M1 HMA-GC,10,0.8819,1.0,0.9374,0.7346,0.8677,0.3947,0.0,0.0721,1.0,0.6364
M2 CTGAN,10,0.8517,1.0,0.8379,0.5587,0.9098,0.3933,0.0153,0.0078,1.0,0.6838
M3 PAR,10,0.6466,0.7448,0.7836,0.5265,0.783,0.3019,0.0,0.0706,1.0,0.7622
M4 TVAE,10,0.8825,1.0,0.7937,0.7749,0.8265,0.382,0.0,0.0393,1.0,0.6888
M5 MST-DP,10,0.8537,0.9997,0.924,0.8322,0.8468,0.3753,0.0,0.5805,1.0,0.5982
M1 HMA-GC,11,0.8737,1.0,0.9365,0.7249,0.8652,0.3582,0.0,0.0648,1.0,0.6238
M2 CTGAN,11,0.8574,1.0,0.8336,0.5516,0.908,0.3845,0.0971,0.0007,1.0,0.6867
M3 PAR,11,0.581,0.7427,0.7843,0.5395,0.779,0.2962,0.0,0.0475,1.0,0.7347
M4 TVAE,11,0.8816,1.0,0.7899,0.7638,0.8266,0.3972,0.0,0.0332,1.0,0.6958
M5 MST-DP,11,0.9266,0.9997,0.9237,0.8394,0.8487,0.3754,0.0,0.5853,1.0,0.5611
M1 HMA-GC,12,0.8729,1.0,0.9319,0.7394,0.8622,0.3643,0.0,0.0777,1.0,0.5995
M2 CTGAN,12,0.8444,0.9998,0.8399,0.561,0.9073,0.3925,0.0001,0.0136,1.0,0.6993
M3 PAR,12,0.567,0.7428,0.7885,0.5424,0.7857,0.2796,0.0,0.0361,1.0,0.7778
M4 TVAE,12,0.8825,1.0,0.7918,0.7797,0.8229,0.3866,0.0,0.0392,1.0,0.6789
M5 MST-DP,12,0.9237,0.9996,0.9255,0.8168,0.8468,0.3674,0.0,0.5683,1.0,0.6225
M1 HMA-GC,13,0.877,1.0,0.9315,0.7295,0.8654,0.3852,0.0,0.0636,1.0,0.6281
M2 CTGAN,13,0.8475,1.0,0.8233,0.5655,0.906,0.3845,0.0159,0.0046,1.0,0.6842
M3 PAR,13,0.6456,0.7465,0.7799,0.5473,0.7849,0.2817,0.0,0.0317,1.0,0.7261
M4 TVAE,13,0.8769,1.0,0.7928,0.7757,0.8213,0.395,0.0,0.0161,1.0,0.6676
M5 MST-DP,13,0.8565,0.9996,0.9191,0.8233,0.846,0.3886,0.0,0.543,1.0,0.5708
M1 HMA-GC,14,0.8642,1.0,0.9382,0.7249,0.8626,0.4016,0.0,0.0756,1.0,0.6194
M2 CTGAN,14,0.8333,0.9998,0.8375,0.5599,0.9065,0.4015,0.0004,0.0041,1.0,0.6886
M3 PAR,14,0.6297,0.7358,0.7816,0.5442,0.7835,0.3074,0.0,0.0371,1.0,0.7641
M4 TVAE,14,0.8607,0.9998,0.7915,0.7725,0.8221,0.3963,0.0,0.0225,1.0,0.6393
M5 MST-DP,14,0.8394,0.9996,0.9226,0.8396,0.8411,0.3913,0.0,0.5638,1.0,0.5956
M1 HMA-GC,15,0.8729,1.0,0.932,0.7413,0.8655,0.3716,0.0,0.0906,1.0,0.633
M2 CTGAN,15,0.8444,0.9997,0.8366,0.5548,0.9063,0.3949,0.0041,0.0162,1.0,0.6936
M3 PAR,15,0.5695,0.7442,0.7858,0.5351,0.7799,0.2888,0.0,0.0472,1.0,0.7769
M4 TVAE,15,0.8849,1.0,0.7911,0.7799,0.824,0.3901,0.0,0.02,1.0,0.6547
